17:27:11 DEBUG   Count: 117 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:11 DEBUG   Count: 118 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:11 DEBUG   Count: 119 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:11 DEBUG   Count: 120 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:11 DEBUG   Count: 121 | MAC: 0C:43:14:F4:61:DA | RSSI: -44 | Distance: 1.1787686347935873
17:27:11 DEBUG   Count: 122 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:11 DEBUG   Count: 123 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:12 DEBUG   Count: 124 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:12 DEBUG   Count: 125 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:12 DEBUG   Count: 126 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:12 DEBUG   Count: 127 | MAC: 0C:43:14:F4:61:DA | RSSI: -47 | Distance: 1.3894954943731377
17:27:12 DEBUG   Count: 128 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:12 DEBUG   Count: 129 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:12 DEBUG   Count: 130 | MAC: 0C:43:14:F4:61:DA | RSSI: -44 | Distance: 1.1787686347935873
17:27:12 DEBUG   Count: 131 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:12 DEBUG   Count: 132 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:13 DEBUG   Count: 133 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:13 DEBUG   Count: 134 | MAC: 0C:43:14:F4:61:DA | RSSI: -47 | Distance: 1.3894954943731377
17:27:13 DEBUG   Count: 135 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:13 DEBUG   Count: 136 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:13 DEBUG   Count: 137 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
17:27:13 DEBUG   Count: 138 | MAC: 0C:43:14:F4:61:DA | RSSI: -44 | Distance: 1.1787686347935873
17:27:13 DEBUG   Count: 139 | MAC: 0C:43:14:F4:61:DA | RSSI: -55 | Distance: 2.154434690031884
17:27:13 DEBUG   Count: 140 | MAC: 0C:43:14:F4:61:DA | RSSI: -57 | Distance: 2.4040991835099716
17:27:13 DEBUG   Count: 141 | MAC: 0C:43:14:F4:61:DA | RSSI: -45 | Distance: 1.2451970847350329
